config,arrival_multiplier,arrival_rate,throughput_mean,throughput_low,throughput_high,queue_mean,cycle_mean,unstable,scenario_key
Current State,0.6,72.0,71.54423434819992,69.82697916126158,73.26148953513827,0.38247863243854363,4.633580097641395,False,kyc
Current State,0.8,96.0,94.8450665444116,92.81265694538618,96.87747614343701,3.0023618104326344,7.1432288520710925,False,kyc
Current State,1.0,120.0,108.98756276947279,107.39334844496295,110.58177709398262,33.49274069533423,29.477000022936544,False,kyc
Current State,1.2,144.0,106.60487335335185,104.56563562524299,108.64411108146071,64.1984573800505,67.8407297899819,False,kyc
Current State,1.5,180.0,103.36781531884606,102.6399435375738,104.09568710011831,70.40394842995872,123.26008571129178,True,kyc
Add 2 Agents,0.6,72.0,71.43747884320186,69.55901601730146,73.31594166910226,0.02605472442963755,4.351460476478872,False,kyc
Add 2 Agents,0.8,96.0,95.17275669400016,93.4530600566067,96.89245333139361,0.13341250100129814,5.464113634867377,False,kyc
Add 2 Agents,1.0,120.0,116.70853921762316,114.00775931989243,119.40931911535388,0.4576052354948207,8.889755665414706,False,kyc
Add 2 Agents,1.2,144.0,122.08122055930912,119.40373029720867,124.75871082140957,0.8158960266807972,38.987204852381346,False,kyc
Add 2 Agents,1.5,180.0,123.11922272646977,120.46397329830565,125.7744721546339,1.1179873498666066,78.62721563854453,False,kyc
ML Triage,0.6,72.0,71.99592125956015,70.72887190003615,73.26297061908414,0.03234532812732077,3.510628514075969,False,kyc
ML Triage,0.8,96.0,93.00012145406068,90.18916014398523,95.81108276413612,0.12684811432212534,4.342637078814236,False,kyc
ML Triage,1.0,120.0,117.65611852624954,114.89458950350934,120.41764754898975,0.34409817563640754,8.300907827481192,False,kyc
ML Triage,1.2,144.0,127.00975933718493,123.53252185713802,130.48699681723184,0.6388593464572646,32.04356168148134,False,kyc
ML Triage,1.5,180.0,119.44829357577848,114.94341901288722,123.95316813866974,0.476682558750033,91.47618050878079,False,kyc
Triage + 1 Agent,0.6,72.0,71.59074296717623,69.48844989143893,73.69303604291352,0.004518645312446119,3.494545464134908,False,kyc
Triage + 1 Agent,0.8,96.0,93.15246487850325,90.85109616192113,95.45383359508537,0.03198780665213069,4.504027544947005,False,kyc
Triage + 1 Agent,1.0,120.0,116.2965932247971,113.36291727171286,119.23026917788135,0.10106620753513665,8.876820997539955,False,kyc
Triage + 1 Agent,1.2,144.0,122.32739892119943,118.41386456804389,126.24093327435497,0.13850799573698386,38.42270474006091,False,kyc
Triage + 1 Agent,1.5,180.0,123.53840243103203,120.09143239844971,126.98537246361434,0.14808170700355147,76.40396032660443,False,kyc
